stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code
place_aucsta,,Auchenflower Station,,-27.476213,152.996869,,,1,,
600286,600286,"Auchenflower station, platform 4",,-27.47607,152.996875,1,http://translink.com.au/stop/600286/gtfs/,0,place_aucsta,4
1941,1941,"Haig Rd at Torwood Park, stop 12",,-27.469935,152.996909,1,http://translink.com.au/stop/001941/gtfs/,0,,
600284,600284,"Auchenflower station, platform 2",,-27.476127,152.996928,1,http://translink.com.au/stop/600284/gtfs/,0,place_aucsta,2
600283,600283,"Auchenflower station, platform 1",,-27.476098,152.996936,1,http://translink.com.au/stop/600283/gtfs/,0,place_aucsta,1
1922,1922,"Milton Rd at Hobbs Street, stop 9",,-27.472493,152.997247,1,http://translink.com.au/stop/001922/gtfs/,0,,
1923,1923,"Milton Rd at Hobbs Street, stop 9",,-27.472507,152.997475,1,http://translink.com.au/stop/001923/gtfs/,0,,
1342,1342,"Baroona Rd at Rosalie Shops, stop 9",,-27.466264,152.997734,1,http://translink.com.au/stop/001342/gtfs/,0,,
1343,1343,"Baroona Rd at Rosalie Shops, stop 9",,-27.466129,152.997791,1,http://translink.com.au/stop/001343/gtfs/,0,,
1951,1951,"Coronation Dr at Wesley Hospital, stop 9",,-27.480073,152.998002,1,http://translink.com.au/stop/001951/gtfs/,0,,
1944,1944,"Coronation Dr at Wesley Hospital, stop 9",,-27.480297,152.99815,1,http://translink.com.au/stop/001944/gtfs/,0,,
2215,2215,"Haig Rd at Torwood Street, stop 11",,-27.468739,152.998471,1,http://translink.com.au/stop/002215/gtfs/,0,,
1933,1933,"Haig Rd at Torwood Street, stop 11",,-27.467863,152.999397,1,http://translink.com.au/stop/001933/gtfs/,0,,
1925,1925,"Milton Rd at Milton - Torwood, stop 8",,-27.470595,152.999971,1,http://translink.com.au/stop/001925/gtfs/,0,,
10251,10251,"Coronation Dr at Chasely Street, stop 8",,-27.47788,153.000034,1,http://translink.com.au/stop/010251/gtfs/,0,,
1924,1924,"Milton Rd at Torwood St, stop 8",,-27.470261,153.000249,1,http://translink.com.au/stop/001924/gtfs/,0,,
920,920,"Baroona Rd at Haig St, stop 8",,-27.467061,153.001413,1,http://translink.com.au/stop/000920/gtfs/,0,,
